Cell_ID,x (dd),y (dd),role
Gull_000243,-52.776214,47.256458,emitter
Gull_000315,-52.776226,47.256818,emitter
Gull_000387,-52.776238,47.257177,emitter
Gull_000459,-52.77625,47.257537,emitter
Gull_000530,-52.776791,47.257889,emitter
Gull_000602,-52.776803,47.258248,emitter
Gull_000674,-52.776815,47.258608,emitter
Gull_000746,-52.776827,47.258968,emitter
Gull_000818,-52.776839,47.259328,emitter
Gull_000890,-52.776851,47.259687,emitter
Gull_000961,-52.777391,47.260039,emitter
Gull_001033,-52.777403,47.260399,emitter
Gull_001105,-52.777415,47.260759,emitter
Gull_001177,-52.777427,47.261118,emitter
Gull_001249,-52.777439,47.261478,emitter
Gull_001321,-52.777451,47.261838,emitter
Gull_001392,-52.777992,47.262189,emitter
Gull_001464,-52.778004,47.262549,emitter
Gull_001536,-52.778016,47.262909,emitter
Gull_001608,-52.778028,47.263269,emitter
Gull_001680,-52.77804,47.263628,emitter
Gull_001753,-52.777524,47.263996,emitter
Gull_001825,-52.777536,47.264356,emitter
Gull_001898,-52.777019,47.264724,emitter
Gull_001971,-52.776503,47.265092,emitter
Gull_002044,-52.775986,47.26546,emitter
Gull_002117,-52.77547,47.265828,emitter
Gull_002190,-52.774953,47.266196,emitter
Gull_002263,-52.774437,47.266564,emitter
Gull_002336,-52.77392,47.266932,emitter
Coast_037341,-52.806981,47.256685,receiver
Coast_037350,-52.807522,47.257036,receiver
Coast_037351,-52.806994,47.257044,receiver
Coast_037360,-52.807534,47.257396,receiver
Coast_037361,-52.807029,47.257371,receiver
Coast_037370,-52.807547,47.257756,receiver
Coast_037377,-52.808616,47.258099,receiver
Coast_037378,-52.808087,47.258107,receiver
Coast_037379,-52.807559,47.258115,receiver
Coast_037384,-52.809685,47.258442,receiver
Coast_037385,-52.809156,47.25845,receiver
Coast_037386,-52.808628,47.258459,receiver
Coast_037393,-52.809697,47.258802,receiver
Coast_037399,-52.810238,47.259153,receiver
Coast_037400,-52.809754,47.259147,receiver
Coast_037565,-52.801404,47.248134,receiver
Coast_037575,-52.801417,47.248494,receiver
Coast_037579,-52.799194,47.245289,receiver
Coast_037583,-52.799206,47.245649,receiver
Coast_037586,-52.799746,47.246,receiver
Coast_037587,-52.799218,47.246008,receiver
Coast_037590,-52.799758,47.24636,receiver
Coast_037593,-52.800299,47.246711,receiver
Coast_037594,-52.799771,47.24672,receiver
Coast_037598,-52.800311,47.247071,receiver
Coast_037602,-52.800852,47.247423,receiver
Coast_037603,-52.800323,47.247431,receiver
Coast_037606,-52.800864,47.247782,receiver
Coast_037609,-52.800876,47.248142,receiver
Coast_037621,-52.801957,47.248845,receiver
Coast_037622,-52.801429,47.248853,receiver
Coast_037631,-52.801969,47.249205,receiver
Coast_037660,-52.803075,47.250627,receiver
Coast_037661,-52.802546,47.250635,receiver
Coast_037668,-52.803087,47.250987,receiver
Coast_037675,-52.803628,47.251338,receiver
Coast_037676,-52.803099,47.251347,receiver
Coast_037683,-52.80364,47.251698,receiver
Coast_037690,-52.803652,47.252058,receiver
Coast_037697,-52.803664,47.252418,receiver
Coast_037703,-52.803676,47.252777,receiver
Coast_037709,-52.803689,47.253137,receiver
Coast_037714,-52.804229,47.253489,receiver
Coast_037715,-52.803701,47.253497,receiver
Coast_037721,-52.804242,47.253848,receiver
Coast_037722,-52.803725,47.253846,receiver
Coast_037727,-52.804254,47.254208,receiver
Coast_037733,-52.804266,47.254568,receiver
Coast_037737,-52.804807,47.254919,receiver
Coast_037738,-52.804306,47.25492,receiver
Coast_037742,-52.804819,47.255279,receiver
Coast_037746,-52.805359,47.25563,receiver
Coast_037747,-52.804831,47.255639,receiver
Coast_037749,-52.8059,47.255982,receiver
Coast_037750,-52.805373,47.255989,receiver
Coast_037752,-52.806441,47.256333,receiver
Coast_037753,-52.805912,47.256342,receiver
Coast_037755,-52.806477,47.256678,receiver
Coast_037757,-52.806547,47.257056,receiver
Coast_045450,-52.81025,47.259513,receiver
Coast_045454,-52.810789,47.259862,receiver
Coast_045455,-52.810262,47.259872,receiver
Coast_045459,-52.810803,47.260224,receiver
Coast_045462,-52.811344,47.260575,receiver
Coast_045463,-52.810815,47.260584,receiver
Coast_045466,-52.811356,47.260935,receiver
Coast_045468,-52.811897,47.261286,receiver
